country,state,city,station,last_update,latitude,longitude,pollutant_id,min_value,max_value,avg_value
India,Bihar,Munger,"Town Hall, Munger - BSPCB",14-05-2025 05:00:00,25.376776,86.471523,OZONE,1,9,3
India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",14-05-2025 05:00:00,26.11442,85.39813,PM10,33,80,57
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",14-05-2025 05:00:00,25.592539,85.227158,PM2.5,31,145,82
India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",14-05-2025 05:00:00,25.592539,85.227158,SO2,2,63,16
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",14-05-2025 05:00:00,25.610369,85.132568,PM2.5,50,260,141
India,Bihar,Patna,"IGSC Planetarium Complex, Patna - BSPCB",14-05-2025 05:00:00,25.610369,85.132568,OZONE,58,62,59
India,Bihar,Patna,"Muradpur, Patna - BSPCB",14-05-2025 05:00:00,25.619651,85.147382,PM2.5,36,139,102
India,Bihar,Patna,"Muradpur, Patna - BSPCB",14-05-2025 05:00:00,25.619651,85.147382,NO2,30,105,54
India,Bihar,Patna,"Muradpur, Patna - BSPCB",14-05-2025 05:00:00,25.619651,85.147382,CO,27,62,41
India,Bihar,Saharsa,"Police Line, Saharsa - BSPCB",14-05-2025 05:00:00,25.892357,86.590325,PM10,24,101,60
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB",14-05-2025 05:00:00,25.859655,85.77944,NH3,2,2,2
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB",14-05-2025 05:00:00,25.859655,85.77944,CO,3,132,82
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB",14-05-2025 05:00:00,25.859655,85.77944,OZONE,6,16,9
India,Bihar,Sasaram,"Dada Peer, Sasaram - BSPCB",14-05-2025 05:00:00,24.952822,84.002396,PM10,NA,NA,NA
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",14-05-2025 05:00:00,26.1209,85.3647,NO2,9,24,15
India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",14-05-2025 05:00:00,26.1209,85.3647,OZONE,4,28,12
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",14-05-2025 05:00:00,25.586562,85.043586,PM2.5,51,112,83
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",14-05-2025 05:00:00,25.586562,85.043586,NH3,2,3,3
India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",14-05-2025 05:00:00,25.586562,85.043586,SO2,6,13,9
India,Bihar,Patna,"Samanpura, Patna - BSPCB",14-05-2025 05:00:00,25.596727,85.085624,SO2,2,3,3
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB",14-05-2025 05:00:00,25.366336,87.117468,PM2.5,32,88,66
India,Bihar,Purnia,"Mariam Nagar, Purnia - BSPCB",14-05-2025 05:00:00,25.366336,87.117468,NH3,3,3,3
India,Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB",14-05-2025 05:00:00,25.03280,85.41948,PM10,107,155,130
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",14-05-2025 05:00:00,25.560083,87.553265,PM2.5,7,58,34
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",14-05-2025 05:00:00,25.560083,87.553265,PM10,6,51,30
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",14-05-2025 05:00:00,25.560083,87.553265,CO,6,110,31
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",14-05-2025 05:00:00,26.0881305,87.93840336,PM10,9,60,31
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",14-05-2025 05:00:00,26.0881305,87.93840336,CO,6,104,21
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",14-05-2025 05:00:00,30.735567,76.775714,SO2,14,52,27
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB",14-05-2025 05:00:00,21.194815,81.314770,NO2,NA,NA,NA
India,Chhattisgarh,Bhilai,"32Bungalows, Bhilai - CECB",14-05-2025 05:00:00,21.194815,81.314770,SO2,NA,NA,NA
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB",14-05-2025 05:00:00,25.567520,83.966379,NO2,4,5,5
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",14-05-2025 05:00:00,25.7808257,84.7446768,SO2,8,9,9
India,Bihar,Gaya,"Kareemganj, Gaya - BSPCB",14-05-2025 05:00:00,24.792403,84.992416,NO2,3,7,5
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",14-05-2025 05:00:00,24.762518,84.982348,NO2,16,19,18
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB",14-05-2025 05:00:00,22.348441,82.549611,OZONE,34,36,35
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB",14-05-2025 05:00:00,22.126650,83.483212,PM2.5,29,56,43
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB",14-05-2025 05:00:00,22.126650,83.483212,PM10,40,149,73
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB",14-05-2025 05:00:00,22.1910172,83.5197009,NO2,NA,NA,NA
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB",14-05-2025 05:00:00,22.1910172,83.5197009,SO2,NA,NA,NA
India,Chhattisgarh,Raipur,"AIIMS, Raipur - CECB",14-05-2025 05:00:00,21.258815,81.578979,SO2,7,12,10
India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",14-05-2025 05:00:00,28.6811736,77.3025234,OZONE,6,23,8
India,Delhi,Delhi,"ITO, Delhi - CPCB",14-05-2025 05:00:00,28.628624,77.241060,PM10,43,112,84
India,Delhi,Delhi,"ITO, Delhi - CPCB",14-05-2025 05:00:00,28.628624,77.241060,NO2,12,95,46
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",14-05-2025 05:00:00,28.732820,77.170633,PM10,101,289,148
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",14-05-2025 05:00:00,28.732820,77.170633,NH3,9,12,10
India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",14-05-2025 05:00:00,28.580280,77.233829,OZONE,12,99,30
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB",14-05-2025 05:00:00,22.06631475,83.33820077,NH3,1,2,1
India,Delhi,Delhi,"Alipur, Delhi - DPCC",14-05-2025 05:00:00,28.815329,77.153010,PM10,80,178,127
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",14-05-2025 05:00:00,28.647622,77.3158090,PM2.5,20,88,48
India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",14-05-2025 05:00:00,28.647622,77.3158090,SO2,8,14,12
India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",14-05-2025 05:00:00,28.695381,77.181665,PM2.5,27,180,65
India,Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB",14-05-2025 05:00:00,21.219665,81.630094,NO2,25,83,43
India,Chhattisgarh,Raipur,"Krishak Nagar, Raipur - CECB",14-05-2025 05:00:00,21.237755,81.705301,NH3,7,7,7
India,Chhattisgarh,Raipur,"Siltara Phase-II, Raipur - CECB",14-05-2025 05:00:00,21.371751,81.664929,PM10,83,159,120
India,Chhattisgarh,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB",14-05-2025 05:00:00,22.06631475,83.33820077,NO2,13,98,51
