country,state,city,station,last_update,latitude,longitude,pollutant_id,min_value,max_value,avg_value
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",13-05-2025 23:00:00,16.5150833,80.5181667,NO2,31,45,38
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",13-05-2025 23:00:00,16.5150833,80.5181667,SO2,11,33,15
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",13-05-2025 23:00:00,16.5150833,80.5181667,CO,1,126,60
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",13-05-2025 23:00:00,16.5150833,80.5181667,OZONE,20,90,51
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",13-05-2025 23:00:00,24.762518,84.982348,PM10,75,103,89
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",13-05-2025 23:00:00,25.697189,85.245900,OZONE,47,195,135
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB",13-05-2025 23:00:00,25.560083,87.553265,PM2.5,7,58,27
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",13-05-2025 23:00:00,26.0881305,87.93840336,SO2,7,10,8
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB",13-05-2025 23:00:00,27.308328,84.531742,NO2,NA,NA,NA
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB",13-05-2025 23:00:00,26.63086,84.90051,PM2.5,NA,NA,NA
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB",13-05-2025 23:00:00,26.63086,84.90051,NH3,3,3,3
India,Bihar,Motihari,"Gandak Colony, Motihari - BSPCB",13-05-2025 23:00:00,26.63086,84.90051,SO2,NA,NA,NA
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB",13-05-2025 23:00:00,22.348441,82.549611,PM10,48,267,119
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB",13-05-2025 23:00:00,22.348441,82.549611,SO2,5,8,6
India,Chhattisgarh,Korba,"Urja Nagar, Korba - CECB",13-05-2025 23:00:00,22.348441,82.549611,CO,20,72,29
India,Chhattisgarh,Kunjemura,"OP Jindal School, Kunjemura - CECB",13-05-2025 23:00:00,22.126650,83.483212,OZONE,8,9,8
India,Chhattisgarh,Milupara,"Govt. Higher Secondary School, Milupara - CECB",13-05-2025 23:00:00,22.1910172,83.5197009,PM2.5,NA,NA,NA
